Start,Finish
0.000044,0.657389
0.657389,0.674573
0.674573,1.318690
1.318690,1.331702
1.331702,4.636369
4.636369,4.637881
4.637881,4.654713
4.654713,4.674583
4.674583,4.697019
4.697019,4.709394
4.709394,5.034567
5.034567,5.049438
5.049438,5.285631
5.285631,5.297967
5.297967,5.341900
5.341900,5.354313
5.354313,5.386635
5.386635,5.401073
5.401073,5.417668
5.417668,5.430079
5.430079,6.233694
6.233694,6.246119
6.246119,8.615517
8.615517,8.616836
8.616836,11.174322
11.174322,11.186747
11.186747,12.594661
12.594661,12.596078
12.596078,16.573807
16.573807,16.575114
16.575114,20.552911
20.552911,20.554215
20.554215,24.532058
24.532058,24.533375
24.533375,28.511203
28.511203,28.512502
28.512502,32.490347
32.490347,32.491720
32.491720,36.099543
36.099543,36.112155
36.112155,36.469497
36.469497,36.470613
36.470613,40.448645
40.448645,40.450664
40.450664,41.022931
41.022931,41.035365
41.035365,44.427788
44.427788,44.428940
44.428940,44.451966
44.451966,44.468930
44.468930,44.490413
44.490413,44.502814
44.502814,48.406936
48.406936,48.408074
48.408074,48.425987
48.425987,48.440356
48.440356,48.452965
48.452965,48.465358
48.465358,52.386084
52.386084,52.387208
52.387208,52.413990
52.413990,52.430952
52.430952,52.449226
52.449226,52.461496
52.461496,56.365228
56.365228,56.366733
56.366733,60.344375
60.344375,60.345486
60.345486,60.363452
60.363452,60.377891
60.377891,60.399806
60.399806,60.412216
60.412216,64.323518
64.323518,64.324791
64.324791,68.302665
68.302665,68.303770
68.303770,72.281815
72.281815,72.282899
72.282899,76.260957
76.260957,76.262013
76.262013,80.240105
80.240105,80.241163
80.241163,84.219253
84.219253,84.220319
84.220319,88.198397
88.198397,88.199455
88.199455,92.177546
92.177546,92.178605
92.178605,96.156648
96.156648,96.157704
96.157704,100.135796
100.135796,100.136853
100.136853,104.114945
104.114945,104.116006
104.116006,108.094087
108.094087,108.095151
108.095151,112.073235
112.073235,112.074284
112.074284,116.052384
116.052384,116.053438
116.053438,120.031528
120.031528,120.032591
120.032591,124.010674
124.010674,124.011744
124.011744,127.989821
127.989821,127.990874
127.990874,131.968964
131.968964,131.970011
131.970011,135.948113
135.948113,135.949164
135.949164,139.927262
139.927262,139.928652
139.928652,143.906403
143.906403,143.907491
143.907491,147.885551
147.885551,147.886619
147.886619,151.864696
151.864696,151.865771
151.865771,155.843846
155.843846,155.844922
155.844922,159.822993
159.822993,159.824052
159.824052,163.802133
163.802133,163.803201
163.803201,167.781281
167.781281,167.782339
167.782339,171.760426
171.760426,171.761479
171.761479,175.739536
175.739536,175.740594
175.740594,179.718678
179.718678,179.719734
179.719734,183.697825
183.697825,183.698884
183.698884,187.676974
187.676974,187.678084
187.678084,191.656116
191.656116,191.657181
191.657181,195.635265
195.635265,195.636331
195.636331,199.614410
199.614410,199.615462
199.615462,203.593558
203.593558,203.594627
203.594627,203.606056
203.606056,203.620355
203.620355,203.636157
203.636157,203.648373
203.648373,207.572705
207.572705,207.573789
207.573789,211.551847
211.551847,211.552917
211.552917,215.530997
215.530997,215.532051
215.532051,219.510140
219.510140,219.511217
219.511217,223.489287
223.489287,223.490349
223.490349,227.468432
227.468432,227.469484
227.469484,231.447583
231.447583,231.448647
231.448647,235.426726
235.426726,235.427788
235.427788,239.405872
239.405872,239.406928
239.406928,243.385020
243.385020,243.386251
243.386251,247.364165
247.364165,247.365229
247.365229,251.343313
251.343313,251.344382
251.344382,255.059861
255.059861,255.074416
255.074416,255.094707
255.094707,255.107076
255.107076,255.322413
255.322413,255.323510
255.323510,256.147187
256.147187,256.161370
256.161370,256.259324
256.259324,256.271770
256.271770,259.301602
259.301602,259.302760
259.302760,259.325880
259.325880,259.342956
259.342956,259.354747
259.354747,259.359136
259.359136,259.359236
259.359236,259.376069
259.376069,259.393134
259.393134,259.408729
259.408729,259.417891
259.417891,259.430286
259.430286,263.280708
263.280708,263.282069
263.282069,263.304973
263.304973,263.321998
263.321998,263.336810
263.336810,263.349160
